ALGORITHM,               INIT_STATE,            GOAL_STATE,       PATH_LENGTH,     STATE_EXPANSIONS,  MAX_QLENGTH,  RUNNING_TIME,  DELETIONS_MIDDLE_HEAP, LOCAL_LOOPS_AVOIDED, ATTEMPTED_REEXPANSIONS,   PATH,
  uniform_cost_search,   120483765,            123456780,        6,               89,                65, 	    0.005000,      0,                     0,                   0,                        rruldr,
  uniform_cost_search,   208135467,            123456780,        15,              6270,              3882,         0.060000,      0,                     0,                   0,                        rdlurrdlulurrdd,
  uniform_cost_search,   704851632,            123456780,        19,              31498,             16430,        0.402000,      0,                     0,                   0,                        drruullddrruullddrr,
  uniform_cost_search,   536407182,            123456780,        22,              82613,             32156,        1.164000,      0,                     0,                   0,                        rdluruldrdlluurdlurrdd,
  uniform_cost_search,   638541720,            123456780,        28,              177927,            32824,        2.703000,      0,                     0,                   0,                        lluurdruldlurrddluruldlurrdd,
 astar_misplacedtiles,    120483765,            123456780,        6,               10,                11,           0.001000,      0,                     0,                   0,                        rruldr,
 astar_misplacedtiles,    208135467,            123456780,        15,              296,               206,          0.004000,      0,                     0,                   0,                        rdluurdrdluurdd,
 astar_misplacedtiles,    704851632,           123456780,        19,              1343,              853,          0.011000,      0,                     0,                   0,                        drruullddrruullddrr,
 astar_misplacedtiles,    536407182,            123456780,        22,              6684,              3988,         0.063000,      0,                     0,                   0,                        drululdrurdllurddlurrd,
 astar_misplacedtiles,    638541720,            123456780,        28,              60326,             25282,        0.797000,      0,                     0,                   0,                        lurulddruldluurdlurrddluurdd,
 astar_manhattan,         120483765,            123456780,        6,               7,                 7,            0.000000,      0,                     0,                   0,                        rruldr,
 astar_manhattan,         208135467,            123456780,        15,              66,                47,           0.000000,      0,                     0,                   0,                        rdlurrdlulurrdd,
 astar_manhattan,         704851632,            123456780,        19,              20,                12,           0.001000,      0,                     0,                   0,                        drruullddrruullddrr,
 astar_manhattan,         536407182,            123456780,        22,              756,               480,          0.007000,      0,                     0,                   0,                        rdluruldrdlluurdlurrdd,
 astar_manhattan,         638541720,            123456780,        28,              5539,              3207,         0.062000,      0,                     0,                   0,                        uldlurrdlluurdldrurulldrurdd,
